ENSEMBLID	Symbol	mRNAbinding	IdentifiedCL	IdentifiedControl	p.adj.DESeq	p.adj.IC	RefSeq
ENSG00000189306	RRP7A	mRNA-interactome	identified	not identified	0.040298589	0.007311132	NP_056518
ENSG00000189369	GSPT2	mRNA-interactome	identified	not identified	0.022498643	0.002729137	NP_060564
ENSG00000189403	HMGB1	mRNA-interactome	identified	identified	0.77651359	0.00239528	NP_002119
ENSG00000196141	SPATS2L	mRNA-interactome	identified	not identified	0.007498822	0.02412107	NP_001093893;NP_001093892;NP_0...
ENSG00000196154	S100A4	mRNA-interactome	identified	not identified	0.713048069	0.001177645	NP_062427;NP_002952
ENSG00000196235	SUPT5H	mRNA-interactome	identified	identified	0.001496321	0.002497423	NP_001124296;NP_001104490;NP_0...
ENSG00000196262	PPIA	mRNA-interactome	identified	not identified	7.42E-05	0.005225306	NP_066953
ENSG00000196396	PTPN1	mRNA-interactome	identified	not identified	0.713048069	0.000753652	NP_002818
ENSG00000196419	XRCC6	mRNA-interactome	identified	not identified	3.14E-08	0.001717221	NP_001460
ENSG00000196924	FLNA	mRNA-interactome	identified	identified	0.041203084	0.00775797	NP_001447;NP_001104026
ENSG00000196943	C14orf21	mRNA-interactome	identified	not identified	2.74E-05	0.014807832	NP_777573
ENSG00000197102	DYNC1H1	mRNA-interactome	identified	not identified	0.930427451	0.001621344	NP_001367
ENSG00000197111	PCBP2	mRNA-interactome	identified	not identified	1.25E-09	0.00067332	NP_001092090;NP_001122383;NP_0...
ENSG00000197157	SND1	mRNA-interactome	identified	not identified	4.25E-20	0.000753652	NP_055205
ENSG00000197265	GTF2E2	mRNA-interactome	identified	not identified	0.930427451	0.003691074	NP_002086
ENSG00000197451	HNRNPAB	mRNA-interactome	identified	identified	1.98E-09	0.000753652	NP_112556;NP_004490
ENSG00000197498	RPF2	mRNA-interactome	identified	not identified	0.007498822	0.001177645	NP_115570
ENSG00000197728	RPS26	mRNA-interactome	identified	identified	0.040298589	0.000719405	NP_001020
ENSG00000198000	NOL8	mRNA-interactome	identified	not identified	9.01E-05	0.001285231	NP_060418
ENSG00000198015	MRPL42	mRNA-interactome	identified	not identified	0.096773559	0.001315893	NP_751917;NP_054769
ENSG00000198034	RPS4X	mRNA-interactome	identified	not identified	0.005783346	0.000900621	NP_000998
ENSG00000198042	MAK16	mRNA-interactome	identified	not identified	0.003616417	0.039227262	NP_115898
ENSG00000198242	RPL23A	mRNA-interactome	identified	identified	0.319873794	0.001416669	NP_000975
ENSG00000198265	HELZ	mRNA-interactome	identified	not identified	0.003616417	0.002164825	NP_055692
ENSG00000198492	YTHDF2	mRNA-interactome	identified	not identified	1.57E-05	0.001153923	NP_001166299;NP_001166599;NP_0...
ENSG00000198755	RPL10A	mRNA-interactome	identified	identified	0.4365026	0.003850691	NP_009035
ENSG00000198900	TOP1	mRNA-interactome	identified	not identified	0.052105948	0.001865032	NP_003277
ENSG00000198917	C9orf114	mRNA-interactome	identified	not identified	0.000167486	0.001095515	NP_057474
ENSG00000198919	DZIP3	mRNA-interactome	identified	not identified	0.329799582	0.000882488	NP_055463
ENSG00000204356	RDBP	mRNA-interactome	identified	not identified	0.713048069	0.00202892	NP_002895
ENSG00000204388	HSPA1B	mRNA-interactome	identified	not identified	0.052105948	0.001005977	NP_005336;NP_005337
ENSG00000204392	LSM2	mRNA-interactome	identified	not identified	0.012745281	0.000888904	NP_067000
ENSG00000204531	POU5F1	mRNA-interactome	identified	not identified	0.000110155	0.000608651	NP_001167002;NP_976034;NP_0026...
ENSG00000204560	DHX16	mRNA-interactome	identified	not identified	0.096773559	0.001397396	NP_003578;NP_001157711
ENSG00000204574	ABCF1	mRNA-interactome	identified	not identified	0.000209011	0.019011778	NP_001020262;NP_001081
ENSG00000204576	PRR3	mRNA-interactome	identified	not identified	0.040298589	0.00946808	NP_079539;NP_001070965
ENSG00000204628	GNB2L1	mRNA-interactome	identified	not identified	0.000750884	0.000855148	NP_006089
ENSG00000204842	ATXN2	mRNA-interactome	identified	not identified	1.63E-08	0.001285231	NP_002964
ENSG00000205323	SARNP	mRNA-interactome	identified	identified	0.060355759	0.001181617	NP_149073
ENSG00000205531	NAP1L4	mRNA-interactome	identified	not identified	0.930427451	0.00067332	NP_005960
ENSG00000205542	TMSB4X	mRNA-interactome	identified	identified	0.912257102	0.00163363	NP_066932
ENSG00000205937	RNPS1	mRNA-interactome	identified	not identified	0.005783346	0.002183922	NP_006702;NP_542161
ENSG00000213782	DDX47	mRNA-interactome	identified	not identified	0.000609866	0.006579191	NP_957518;NP_057439
ENSG00000214022	REPIN1	mRNA-interactome	identified	not identified	0.930427451	0.002962087	NP_001093166;NP_001093165;NP_0...
ENSG00000214753	HNRNPUL2	mRNA-interactome	identified	not identified	1.95E-10	0.001621344	NP_001073027
ENSG00000215301	DDX3X	mRNA-interactome	identified	not identified	2.69E-07	0.002708193	NP_001347;NP_001180345;NP_0011...
ENSG00000215425	SNORD84	mRNA-interactome	identified	not identified	0.000167486	0.056799935	NP_542165;NP_004631
ENSG00000215472	RPL17	mRNA-interactome	identified	identified	0.930427451	0.005340628	NP_001186274;NP_001186273;NP_0...
ENSG00000215699	BX511012.1	mRNA-interactome	identified	not identified	0.012745281	0.00078165	NP_001177938;NP_001177935;NP_4...
ENSG00000225748	CR759761.2	mRNA-interactome	identified	identified	2.42E-06	0.00117527	
ENSG00000225921	NOL7	mRNA-interactome	identified	not identified	0.003616417	0.001698816	NP_057251
ENSG00000233927	RPS28	mRNA-interactome	identified	not identified	0.012745281	0.000882488	NP_001022
ENSG00000235657	CR388220.8	mRNA-interactome	identified	not identified	0.930427451	0.000769967	
ENSG00000236222	CR759786.10	mRNA-interactome	identified	not identified	7.83E-07	0.002962087	
ENSG00000239306	RBM14	mRNA-interactome	identified	not identified	1.43E-10	0.000963932	NP_006319;NP_001185765;NP_0011...
ENSG00000239672	NME1	mRNA-interactome	identified	identified	1	0.004457966	NP_000260;NP_937818
ENSG00000240682	ISY1	mRNA-interactome	identified	not identified	0.052105948	0.001621344	NP_001191819;NP_065752;NP_0011...
ENSG00000241945	PWP2	mRNA-interactome	identified	not identified	1.43E-10	0.002962087	NP_005040
ENSG00000242265	PEG10	mRNA-interactome	identified	not identified	9.17E-07	0.001651554	NP_001035242;NP_001165909;NP_0...
ENSG00000244462	RBM12	mRNA-interactome	identified	not identified	0.000393611	0.012462258	NP_001185769;NP_001185767;NP_6...
ENSG00000244509	APOBEC3C	mRNA-interactome	identified	not identified	0.029319648	0.001704679	NP_055323
ENSG00000247596	TWF2	mRNA-interactome	identified	not identified	0.096773559	0.001091449	NP_009215
ENSG00000249398	AC092037.3	mRNA-interactome	identified	identified	1	0.001677061	
ENSG00000249714	NA	mRNA-interactome	identified	not identified	0.002275245	0.006829447	
